#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
fluid_booze_green_wine_poisoned                   (growthcraft_grapes:fluid_grapebooze_green_wine_poisoned)                        = Green Grape Wine
fluid_booze_red_juice                             (growthcraft_grapes:fluid_grapebooze_red_juice)                                  = Red Grape Juice
fluid_booze_red_wine                              (growthcraft_grapes:fluid_grapebooze_red_wine)                                   = Red Grape Wine
fluid_booze_red_wine_potent                       (growthcraft_grapes:fluid_grapebooze_red_wine_potent)                            = Red Grape Wine Potent
fluid_booze_red_wine_extended                     (growthcraft_grapes:fluid_grapebooze_red_wine_extended)                          = Red Grape Wine Extended
fluid_booze_red_ambrosia                          (growthcraft_grapes:fluid_grapebooze_red_ambrosia)                               = Red Ambrosia
fluid_booze_red_portwine                          (growthcraft_grapes:fluid_grapebooze_red_portwine)                               = Red Port Wine
fluid_booze_red_wine_intoxicated                  (growthcraft_grapes:fluid_grapebooze_red_wine_intoxicated)                       = Red Grape Wine
fluid_booze_red_wine_poisoned                     (growthcraft_grapes:fluid_grapebooze_red_wine_poisoned)                          = Red Grape Wine
fluid_booze_lager_young                           (growthcraft_hops:fluid_lagerbooze_young)                                        = Lager Wort
fluid_booze_lager_normal                          (growthcraft_hops:fluid_lagerbooze_normal)                                       = Lager
fluid_booze_lager_potent                          (growthcraft_hops:fluid_lagerbooze_potent)                                       = Lager
fluid_booze_lager_extended                        (growthcraft_hops:fluid_lagerbooze_extended)                                     = Lager
fluid_booze_lager_hyperextended                   (growthcraft_hops:fluid_lagerbooze_hyperextended)                                = Lager
fluid_booze_lager_intoxicated                     (growthcraft_hops:fluid_lagerbooze_intoxicated)                                  = Lager
fluid_booze_lager_poisoned                        (growthcraft_hops:fluid_lagerbooze_poisoned)                                     = Lager
fluid_booze_lager_potentextended                  (growthcraft_hops:fluid_lagerbooze_potentextended)                               = Lager
fluid_booze_lager_magical                         (growthcraft_hops:fluid_lagerbooze_magical)                                      = Lager
fluid_booze_hopale_unhopped                       (growthcraft_hops:fluid_hopalebooze_unhopped)                                    = Ale Wort
fluid_booze_hopale_normal                         (growthcraft_hops:fluid_hopalebooze_normal)                                      = Ale
fluid_booze_hopale_potent                         (growthcraft_hops:fluid_hopalebooze_potent)                                      = Ale
fluid_booze_hopale_extended                       (growthcraft_hops:fluid_hopalebooze_extended)                                    = Ale
fluid_booze_hopale_young                          (growthcraft_hops:fluid_hopalebooze_young)                                       = Ale Wort
fluid_booze_hopale_hyperextended                  (growthcraft_hops:fluid_hopalebooze_hyperextended)                               = Ale
fluid_booze_hopale_lager                          (growthcraft_hops:fluid_hopalebooze_lager)                                       = Ale
fluid_booze_hopale_intoxicated                    (growthcraft_hops:fluid_hopalebooze_intoxicated)                                 = Ale
fluid_booze_hopale_poisoned                       (growthcraft_hops:fluid_hopalebooze_poisoned)                                    = Ale
fluid_milk                                        (growthcraft_milk:fluid_milk)                                                    = Milk
fluid_butter_milk                                 (growthcraft_milk:fluid_butter_milk)                                             = Butter Milk
fluid_cream                                       (growthcraft_milk:fluid_cream)                                                   = Cream
fluid_milk_curds                                  (growthcraft_milk:fluid_milk_curds)                                              = Milk Curds
fluid_rennet                                      (growthcraft_milk:fluid_rennet)                                                  = Rennet
fluid_skim_milk                                   (growthcraft_milk:fluid_skim_milk)                                               = Skim Milk
fluid_whey                                        (growthcraft_milk:fluid_whey)                                                    = Whey
fluid_condensed_milk                              (growthcraft_milk:fluid_condensed_milk)                                          = Condensed Milk
fluid_booze_kumis_kumis_fermented                 (growthcraft_milk:fluid_kumisbooze_kumis_fermented)                              = Kumis Fermented
fluid_booze_kumis_kumis_potent                    (growthcraft_milk:fluid_kumisbooze_kumis_potent)                                 = Kumis Potent
fluid_booze_kumis_kumis_extended                  (growthcraft_milk:fluid_kumisbooze_kumis_extended)                               = Kumis Extended
fluid_booze_kumis_kumis_hyperextended             (growthcraft_milk:fluid_kumisbooze_kumis_hyperextended)                          = Kumis Hyper-Extended
fluid_booze_kumis_kumis_potent_extended           (growthcraft_milk:fluid_kumisbooze_kumis_potent_extended)                        = Kumis Potent Extended
fluid_booze_kumis_kumis_potent_hyperextended      (growthcraft_milk:fluid_kumisbooze_kumis_potent_hyperextended)                   = Kumis Potent Hyper-Extended
fluid_booze_kumis_kumis_poisoned                  (growthcraft_milk:fluid_kumisbooze_kumis_poisoned)                               = Kumis
fluid_cheese_ricotta                              (growthcraft_milk:fluid_cheese_ricotta)                                          = Ricotta Cheese
fluid_cheese_gorgonzola                           (growthcraft_milk:fluid_cheese_gorgonzola)                                       = Gorgonzola Cheese
fluid_cheese_emmentaler                           (growthcraft_milk:fluid_cheese_emmentaler)                                       = Emmental Cheese
fluid_cheese_appenzeller                          (growthcraft_milk:fluid_cheese_appenzeller)                                      = Appenzeller Cheese
fluid_cheese_asiago                               (growthcraft_milk:fluid_cheese_asiago)                                           = Asiago Cheese
fluid_cheese_parmesan                             (growthcraft_milk:fluid_cheese_parmesan)                                         = Parmesan Cheese
fluid_cheese_casu_marzu                           (growthcraft_milk:fluid_cheese_casu_marzu)                                       = fluid.fluid_cheese_casu_marzu
fluid_cheese_cheddar                              (growthcraft_milk:fluid_cheese_cheddar)                                          = Cheddar Cheese
fluid_cheese_monterey                             (growthcraft_milk:fluid_cheese_monterey)                                         = Monterey Cheese
fluid_cheese_gouda                                (growthcraft_milk:fluid_cheese_gouda)                                            = Gouda Cheese
fluid_cheese_provolone                            (growthcraft_milk:fluid_cheese_provolone)                                        = Provolone Cheese
fluid_booze_sake_water                            (growthcraft_rice:fluid_sakebooze_sake_water)                                    = Rice Water
fluid_booze_sake_mash                             (growthcraft_rice:fluid_sakebooze_sake_mash)                                     = Sake Mash
fluid_booze_sake_fermented                        (growthcraft_rice:fluid_sakebooze_sake_fermented)                                = Sake
fluid_booze_sake_potent                           (growthcraft_rice:fluid_sakebooze_sake_potent)                                   = Sake
fluid_booze_sake_extended                         (growthcraft_rice:fluid_sakebooze_sake_extended)                                 = Sake
fluid_booze_sake_hyperextended                    (growthcraft_rice:fluid_sakebooze_sake_hyperextended)                            = Sake
fluid_booze_sake_potent_extended                  (growthcraft_rice:fluid_sakebooze_sake_potent_extended)                          = Sake
fluid_booze_sake_potent_hyperextended             (growthcraft_rice:fluid_sakebooze_sake_potent_hyperextended)                     = Sake
fluid_booze_sake_poisoned                         (growthcraft_rice:fluid_sakebooze_sake_poisoned)                                 = Sake
fluid_booze_sake_magical                          (growthcraft_rice:fluid_sakebooze_sake_magical)                                  = Sake
essence                                           (industrialforegoing:essence)                                                    = Essence
milk                                              (industrialforegoing:milk)                                                       = Milk
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
latex                                             (industrialforegoing:latex)                                                      = Latex
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = Molten Refined Obsidian
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Refined Glowstone
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
psimetal                                          (plustic:plustic.molten_psimetal)                                                = Molten Psimetal
desh                                              (plustic:plustic.molten_desh)                                                    = Molten Desh
xpjuice                                           ([no block])                                                                     = Liquid XP
soulshardsrespawn.corrupted                       ([no block])                                                                     = Molten Corruption
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
blood                                             (tconstruct:blood)                                                               = Blood
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
lunar_water                                       (nyx:lunar_water)                                                                = Lunar Water
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
